,Ref ID,Gender,Age_Group,City,Smart_Phone,Tablet,Commuting_Mode,Commuting_Time,Commuting_Time_Minutes,No_of_Books_read_in_a_year,No_of_Books_read_in_a_year_Number,Start_Time_Slots,Event_Duration_Minutes_2_Weeks,Event_Duration_Minutes_3_Weeks,Event_Duration_Minutes_5_Weeks,Device_Type,Product_Running_Time,Completion_Rate_2_Weeks,Completion_Rate_5_Weeks,Genre,Subscription_Type,Membership_Duration,Average_Listening_Speed,Number_of_Audiobooks_Completed,Number_of_Audiobooks_Completed_Buckets,Number_of_Audiobooks_Purchased,Number_of_Audiobooks_Purchased_Buckets,Preferred_Listening_Time,Listening_Context,Listening_Device_Preference,Language_Preference,Accessibility_Features_Use,Download_vs_Streaming,Time_Spent_Browsing,Time_Spent_Browsing_Buckets,Genre_Exploration,Top 100 in Respective Genre,Product_Name,Publisher_Name,Product_Narrator,Repeat_Listening,Ratings_Given,Reviews_Written,Recommendations_Followed,Social_Sharing,Users_Retained_5Weeks,Engagement_Rate,Listening_Speed_Numeric
0,1,Female,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,7 - 12 books,9,Afternoon_Early_Evening,6.0,6.0,12.0,Audible for Android,38,16.0,32.0,Arts & Entertainment,Monthly,1,1.25x,99,61 - 100 Books,7,Less than 10,Morning,Commuting,PC,English,False,Streaming,112,More than 100 Minutes,7,Not in Top 100,Leadership Lessons of Steve Jobs (Unabridged),Harvard Business School,Todd Mundt,False,5,True,True,True,0,0.9339622641509434,1.25
1,5,Male,36 - 40 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,More than 12 books,13,Late_Evening_Night,1.0,1.0,1.0,Audible for iPhone (1000),652,0.0,0.0,Literature & Fiction,Monthly,45,1.5x,53,31 - 60 Books,9,Less than 10,Night,Exercising,Smartphone,Spanish,True,Download,69,61 - 100 Minutes,6,Not in Top 100,Ladies Coupe (Unabridged),Audible Studios,Shaheen Khan,False,1,False,True,True,0,0.8548387096774194,1.5
2,8,Female,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,5 - 6 books,5,Late_Evening_Night,1.0,1.0,2.0,Audible for Android,405,0.0,0.0,Mysteries & Thrillers,Yearly,56,1x,59,31 - 60 Books,23,11- 30 Books,Night,Commuting,Smartphone,German,True,Download,98,61 - 100 Minutes,6,Not in Top 100,The Hound of the Baskervilles: A Sherlock Holmes Novel (Unabridged),Tantor Audio,Simon Prebble,True,1,True,False,True,0,0.7195121951219512,1.0
3,11,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,16 mins - 1 hour,38,5 - 6 books,5,Late_Evening_Night,0.0,1.0,1.0,Audible for Android,103,0.0,1.0,Literature & Fiction,Monthly,47,2x,17,11- 30 Books,98,61 - 100 Books,Evening,Commuting,PC,Spanish,False,Streaming,43,31 - 60 Minutes,3,Not in Top 100,The Time Machine (Dramatized),"Monterey Media, Inc. (Audio Theatre)",The St. Charles Players,False,1,True,True,False,0,0.14782608695652175,2.0
4,13,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,7 - 12 books,9,Afternoon_Early_Evening,0.0,0.0,1.0,Audible for Android,160,0.0,1.0,Religion & Spirituality,Monthly,18,2x,23,11- 30 Books,27,11- 30 Books,Morning,Exercising,PC,German,True,Streaming,41,31 - 60 Minutes,4,In top 100,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,True,1,False,True,True,0,0.46,2.0
5,14,Male,25 - 30 years,Bangalore,Both Phones,Both Tablet,Personal/Hired/Shared 2 Wheeler,16 mins - 1 hour,38,More than 12 books,13,Late_Evening_Night,2.0,2.0,4.0,Audible for Android,144,1.0,3.0,Religion & Spirituality,Per-book,2,1x,84,61 - 100 Books,65,61 - 100 Books,Afternoon,Working,PC,German,False,Download,32,31 - 60 Minutes,9,Not in Top 100,The Guiding Light. A Selection of Quotations from My Favourite Books (Unabridged),Audible Studios,Sam Dastor,True,1,False,False,True,0,0.5637583892617449,1.0
6,16,Female,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,1 - 2 hours,90,5 - 6 books,5,Late_Evening_Night,1.0,55.0,56.0,Audible for Android,695,0.0,8.0,Literature & Fiction,Per-book,3,1x,1,Less than 10,34,31 - 60 Books,Evening,Commuting,Tablet,Spanish,True,Streaming,20,11- 30 Minutes,9,Not in Top 100,The Arabian Nights (Unabridged),Audible Studios,Suehyla El Attar,True,3,False,False,False,0,0.02857142857142857,1.0
7,26,Male,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,16 mins - 1 hour,38,7 - 12 books,9,Late_Evening_Night,5.0,5.0,10.0,Audible for Android,356,1.0,3.0,Literature & Fiction,Yearly,43,1.75x,31,31 - 60 Books,96,61 - 100 Books,Night,Commuting,Tablet,German,True,Streaming,82,61 - 100 Minutes,8,Not in Top 100,Star Wars (Dramatized),"HighBridge, a division of Recorded Books","Mark Hamill, Anthony Daniels",False,5,True,True,False,0,0.2440944881889764,1.75
8,27,Male,18 - 24 years,Hyderabad,IOS,Android Tablet,Personal/Hired/Shared 2 Wheeler,16 mins - 1 hour,38,7 - 12 books,9,Late_Night_Early_Morning,7.0,2.0,9.0,Audible for iPhone (1000),375,2.0,2.0,Literature & Fiction,Per-book,25,2x,51,31 - 60 Books,37,31 - 60 Books,Afternoon,Working,Smartphone,Spanish,True,Streaming,72,61 - 100 Minutes,9,Not in Top 100,Interpreter of Maladies (Unabridged),"HighBridge, a division of Recorded Books",Matilda Novak,True,2,True,True,True,0,0.5795454545454546,2.0
9,28,Male,25 - 30 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,Less than 15 mins,15,5 - 6 books,5,Late_Evening_Night,18.0,8.0,26.0,Audible for iPhone (1000),160,11.0,16.0,Religion & Spirituality,Yearly,12,1.5x,2,Less than 10,66,61 - 100 Books,Night,Relaxing,PC,Spanish,False,Streaming,59,31 - 60 Minutes,6,In top 100,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,True,5,True,True,True,0,0.029411764705882353,1.5
